timestamp,ran_ue_id,cell_id,dl_bitrate,ul_bitrate,dl_tx,ul_tx,dl_retx,ul_retx,pusch_snr,epre,ul_phr,ul_path_loss,p_ue,dl_mcs,ul_mcs,turbo_decoder_min,turbo_decoder_avg,turbo_decoder_max,cqi,ri,initial_ta
2025-01-23 18:51:54,113,1,45672,133115,22,17,5,0,16.4,-97.2,36,66.7,-13,15.1,8.5,1,1.773,3,12,2,5
2025-01-23 18:51:54,87,1,129903,17793,15,10,1,1,17,-97.2,38,65.5,-16,26.1,14,2,2.818,5,15,2,6
2025-01-23 18:51:55,113,1,41430,125854,18,17,3,0,18.1,-96,38,64.8,-14,14.7,8.5,1,1.609,2,10,2,5
2025-01-23 18:51:55,87,1,131563,8193,13,4,0,0,17.6,-97.1,38,65.5,-16,26,11.5,2,2,2,15,2,6
2025-01-23 18:51:56,113,1,42875,66775,20,15,2,0,18.3,-95.3,34,65.4,-12,14.9,10.7,1,1.562,2,12,2,5
2025-01-23 18:51:56,87,1,66500,10262,10,5,1,0,20.3,-99,38,62.7,-16,26,12,2,2,2,15,2,6
2025-01-23 18:51:56,113,1,46121,55309,20,15,1,1,18,-96.4,38,62.4,-16,14.8,12.9,1,1.765,5,11,2,5
2025-01-23 18:51:56,87,1,198133,106400,31,21,1,0,19.8,-96.9,38,62.6,-16,25.1,11.6,1,2.04,4,15,2,6
2025-01-23 18:51:57,113,1,43733,52824,19,13,4,0,22.3,-94.9,38,60.9,-16,16.9,10.6,1,1.357,3,12,2,5
2025-01-23 18:51:57,87,1,69684,11903,13,6,0,0,18.4,-99,38,62.6,-16,25,11.8,2,2.167,3,15,2,6
2025-01-23 18:51:58,113,1,43042,52496,19,14,2,0,17.9,-96.3,38,65.6,-14,15,10.4,1,1.667,3,12,2,5
2025-01-23 18:51:58,87,1,54339,10096,12,5,0,0,15.2,-97.3,38,64.2,-16,25,12.2,2,2.2,3,15,2,6
2025-01-23 18:51:58,113,1,41371,49851,18,16,4,0,22.6,-93.7,38,63.3,-14,15.4,10.7,1,1.353,2,10,2,5
2025-01-23 18:51:58,87,1,54308,9291,11,5,0,0,16.8,-96.8,38,62.8,-16,25.5,11,1,1.8,2,15,2,6
